Hid,State,City,Category,Alcohol,Hotel Name,Address,Start Date,Expiry Date,Total Rooms
142,Gujarat,Talaja,3 Star,,The Postcard Gir Wildlife Sanctuary (A unit of The General's Retreat Gir),"KHATA NUMBER 75,SURVEY NUMBER 57-1A-P8,VILLAGE SANGODARA, Talaja",17/11/2022,16/11/2027,15
143,Gujarat,Vadodara,3 Star,,'The Fern' Akota Vadodara (A unit of Nand Hospitality Pvt. Ltd.) ,"PLOT NO 11, GOKHLE COLONY, BEHIND DINESH MILL, AKOTA Vadodara Vadodara Vadodara",5/11/2018,4/11/2023,72
144,Gujarat,Vadodara,3 Star,,COMFORT INN DONIL (MANISH EMPIRE),"OPP. RTO DARJIPURA, BS VANCHENTA KENDRA, NR. GOLDEN CHOKDI, NH-8 VADODARA 390022",10/10/2019,9/10/2024,79
145,Gujarat,Vadodara,3 Star,,Eastin Residences Vadodara,"78 Sampatrao Colony, Off RC Dutt Road, Alkapuri",4/1/2019,3/1/2024,44
146,Gujarat,Vadodara,3 Star,,HOTEL RAMADA ENCORE ,"UNIT OF SRPL, SHRESHTH BHARAT BHAVAN, STATUE OF UNITY, KEVADIYA COLONY, NARMADA, NANDOD (GUJARAT)-393151",16/07/2021,15/07/2026,52
147,Gujarat,Vadodara,3 Star,,Kabir Hotel and Spa,"Opp. F.G.I. Building, Sevasi Road, Vadodara.",15/03/2019,14/03/2024,57
148,Gujarat,Vadodara,3 Star,,"Regenta Inn by Royal Orchid Hotels, unit of Cube Construction Engineering ltd.","Ved Transcube Plaza, opp. Railway Station, Near Central Bus Stand, Vadodara. ",28/02/2019,27/02/2024,58
149,Gujarat,Vadodara,3 Star,,Suncity LIfestyle,Gotri - Sherkhi Road,2/11/2020,1/11/2025,37
150,Gujarat,Vapi,3 Star,,HOTEL SILVER LEAF VILLAGE,"PLOT NO - 340 P-1 N.H. NO - 56 VILLAGE - KAKADKOPAR , VAPI - DHARAMPUR ROAD , KAKADKOPAR ",5/1/2021,4/1/2026,17
151,Gujarat,Viramgam,3 Star,,HOTEL MIDORI,"PRATHAMA NR HONDA 2 WHEELER PLANT, VIRAMGAM-BECHRAJI HIGHWAY, VITHLAPUR TALUKA MANDAL",7/8/2020,6/8/2025,38
152,Haryana,Ambala,3 Star,,MM CONTINENTAL HOTEL,"NH-73, AMBALA, JAGADHARI HIGHWAY, MULLANA, AMBALA,HARYANA",11/7/2020,10/7/2025,48
153,Haryana,Gurgaon,3 Star,,Country Inn & Suites By Carlson (A Unit of Tuberose Hotel),"Plot No.301-302, Sector - 12, Old Delhi Road, Gurgaon - 122001, Haryana, India",13/07/2018,12/7/2023,73
154,Haryana,Gurgaon,3 Star,,Fortune Park Orange. A unit Of Orange SPA Hotel and Resorts Pvt. Ltd,"K.M. Stone 67, NH-8, Sidhrawali",28/01/2020,27/01/2025,96
155,Haryana,Gurgaon,3 Star,,IBIS GURGAON,ibis Gurgaon Golf Course Road Block 1 Sector 53 Gurgaon,19/04/2022,18/04/2027,214
156,Haryana,Gurgaon,3 Star,,"Lemon Tree Hotel, Tarudhan Valley - Manesar (A unit of Coronet Hotel Services and Supplies Pvt. Ltd.)","Tarudhan Valley, Village Dadu, P.O. Hasanpur, Tehsil Tauru, District Mewat Gurgaon",26/09/2018,25/09/2023,70
157,Haryana,Gurgaon,3 Star,,"Lemon Tree Hotel,Tarudhan Valley","Lemon Tree Hotel, Tarudhan Valley, Village Dadu, Tehsil Tauru, Mewat, Gurugram Gurgaon",26/09/2018,25/09/2023,70
158,Haryana,Gurgaon,3 Star,,Skycity Hotels Private Limited,"1,Old Judicial Complex, Jharsa Road, Sector-15,Gurgaon",9/10/2018,8/10/2023,55
159,Haryana,Rewari,3 Star,,Aravali Resorts,"76th Mile Stone, NH8, Dharuhera, District Rewari",6/1/2020,5/1/2025,29
160,Himachal Pradesh,Solan,3 Star,,Timber Trail Resort (Unit of Asia Resort Ltd.),"Parwanoo, Distt. Solan , Himachal Pradesh",7/10/2019,6/10/2024,28
161,Karnataka,Bangalore,3 Star,,Angsana Oasis Spa and Resort (A unit of Prestige Leisure Resorts Pvt. Ltd.),ADDEVISHWANATHAPURA VILLAAGE MAIN DODDABALLAPURA ROAD RAJANUKUNTE BANGALORE 560064 Bangalore Bangalore,30/03/2022,29/03/2027,79
162,Karnataka,Bangalore,3 Star,,"Holiday Inn Express and Suites Bengaluru, OMR, Unit of Brigade Hotel Ventures Limited","Survey No. 49, Huskur Village, Bidarahalli Hobli, Bengaluru East Taluk, ",25/01/2022,24/01/2027,237
163,Kerala,Adoor,3 Star,,CENTRAL PARK HOTEL,"OPP. RELIANCE FILLING STATION, K P ROAD , ADOOR, ",17/01/2019,16/01/2024,10
164,Kerala,Alappuzha,3 Star,,ALLEPPEY PRINCE HOTEL,"A.S.ROAD,NH.47,ALAPPUZHA,KERALA STATE",8/1/2020,7/1/2025,43
165,Kerala,Alappuzha,3 Star,,Enkey's Residency,Pathirappally NH 66 Pathirappally PO ,15/07/2022,14/07/2027,10
166,Kerala,Alappuzha,3 Star,,HOTEL INDRAPRASTHA,"CHARUMMOODU PO, MAVELIKARA, ALAPPUZHA, KERALA ",16/07/2021,15/07/2026,10
167,Kerala,Alappuzha,3 Star,,HOTEL KALAI,"HOTEL KALAI, KUTTITHERUVU JN, Kayamkulam, Alappuzha",12/1/2019,11/1/2024,15
168,Kerala,Alappuzha,3 Star,,HOTEL KARTHIYAYINI,"HOTEL KARTHIYAYINI, OTTAPPUNNA JUNCTION, CHERTHALA PO, ALAPPUZHA 688524",28/01/2020,27/01/2025,12
169,Kerala,Alappuzha,3 Star,,JEENA RESIDENCY,"OPP KSRTC BUS STATION, HARIPAD, ALAPPUZHA DISTRICT",27/07/2018,26/07/2023,10
170,Kerala,Alappuzha,3 Star,,Magnet Hotels,V.C.S.B Road Near KSRTC Bus stand Alleppey,15/07/2022,14/07/2027,12
171,Kerala,Alappuzha,3 Star,,THE ROYALE PLAZA,"THE ROYALE PLAZA, NEAR RAILWAY OVER BRIDGE, K P ROAD, KAYAMKULAM, ",23/10/2018,22/10/2023,24
172,Kerala,Angamaly,3 Star,,HOTEL BLUE BELLS (a Unit of EDASSERY MOTELS AND VILLAS) ,"HOTEL BLUE BELLS, ANGADIKADAVU ROAD, ANGAMALY.P.O, ERNAKULAM DISTRICT, KERALA-683572",26/11/2018,25/11/2023,14
173,Kerala,Angamaly,3 Star,,HOTEL HILLS PARK [MATHA ENTERPRISES],"NEAR KSRTC BUS STAND, ANGAMALY, ERNAKULAM ",4/1/2019,3/1/2024,17
174,Kerala,Angamaly,3 Star,,HOTEL MAXX INN,"KARUKUTTY, ERNAKULAM",11/7/2020,10/7/2025,10
175,Kerala,Angamaly,3 Star,,The Hotel Chettungal,"Aluva Road, Angamaly",17/07/2019,16/07/2024,10
176,Kerala,Angamaly,3 Star,,Vrindavan Retreat,"Bldg.No.IV-38,Madhurapuram,Mekkad-Vattaparambu Road,Mekkad (Post),Athani,Ernakulam(Dist.).",22/08/2019,21/08/2024,10
177,Kerala,Attingal,3 Star,,DEV RESIDENCY,"MOONUMUKKU,ATTINGAL P.O.,ATTINGAL,THIRUVANANTHAPURAM",9/9/2022,8/9/2027,11
178,Kerala,Calicut,3 Star,,Hill Side ,"Near NIT, Kariyakulangara , Mukkam,Calicut. Kerala ",12/12/2019,11/12/2024,11
179,Kerala,Calicut,3 Star,,Hotel Maharani (A unit of Hotel Maharani Pvt. Ltd.),Taluk Road. Puthiyara P.O. Kozhikode Calicut,29/06/2020,28/06/2025,43
180,Kerala,Calicut,3 Star,,Hotel Surya,"Paithoth Road, Perambra, Kozhikode",11/3/2022,10/3/2027,15
181,Kerala,Calicut,3 Star,,Mavoor Regency,"Poovattuparamba P.O, Kozhikode",7/8/2020,6/8/2025,10
182,Kerala,Calicut,3 Star,,Park Residency,"G H Road, Calicut",27/02/2019,26/02/2024,20
183,Kerala,Calicut,3 Star,,"Park Residency - Kuttiyadi, A unit of Flair Hotels and Resorts Pvt. Ltd","ADUKKATH PO, KUTTIYADI, CALICUT. Calicut",13/04/2022,12/4/2027,16
184,Kerala,Calicut,3 Star,,Prinz Residency,"Near Chengottukavu Bridge, P O Melur, Koyilandy",14/11/2019,13/11/2024,17
185,Kerala,Calicut,3 Star,,The North Park,"N H Bye Pass, Nut Street, Vatakara, Calicut Dist Calicut Calicut",5/3/2019,4/3/2024,18
186,Kerala,Chalakudy,3 Star,,Hotel Harshavardhana Inn,"Opposite Apollo Tyres, N H-47, Potta (Post), Chalakudy.",25/03/2022,24/03/2027,15
187,Kerala,Chalakudy,3 Star,,Hotel Rachana Continental (A unit of Hotel Rachana Continental Pvt Ltd.),"KSRTC Road, Chalakudy, Thrissur Chalakudy",16/07/2021,15/07/2026,14
188,Kerala,Changanassery,3 Star,,Hotel Panchavady,"Near KSRTC, Kavala, Changanacherry, Kottayam",28/01/2019,27/01/2024,12
189,Kerala,Changanassery,3 Star,,"Hotel Breezeland, A unit of Breezeland Hotels Ltd.","By Pass Junction, M C Road, Vazhappally, Changanacherry. Changanassery",21/01/2020,20/01/2025,18
190,Kerala,Changanassery,3 Star,,HOTEL VANI,"CENTRAL JUNCTION ,KAVALA,CHANGANASSERY",15/03/2022,14/03/2027,16
191,Kerala,Chengannur,3 Star,,NAVARATNA TOURIST HOME,"M C Road , Chengannur , Alappuzha (Dist)",19/04/2022,18/04/2027,10
192,Kerala,CHERAI,3 Star,,Cherai beach resorts,"Cherai.po, vypin island Ernakulam district ,Kerala State-683513 CHERAI CHERAI",25/03/2022,24/03/2027,25
193,Kerala,Cherthala,3 Star,,Hotel Aroor Residency ,"NH 66,Aroor,Alappuzha, Kerala",30/11/2019,29/11/2024,17
194,Kerala,Cherthala,3 Star,,Hotel Envees,"Hotel Envees , Eramalloor, Cherthala",31/12/2019,30/12/2024,10
195,Kerala,Cherthala,3 Star,,Keerthi Palace Restaurant,Ponnamvely Pattanakkad.P.O Cherthala Cherthala,1/8/2022,31/07/2027,10
196,Kerala,Ernakulam,3 Star,,Amruthu Residency,"M.C Road, Koothattukulam, Ernakulam",24/10/2018,23/10/2023,13
197,Kerala,Ernakulam,3 Star,,Arpitha Tourist Home,Nayarambalam Ernakulam,25/03/2022,24/03/2027,10
198,Kerala,Ernakulam,3 Star,,Aruna Tourist Home,"A M Road, Perumbavoor, Ernakulam",5/3/2019,4/3/2024,10
199,Kerala,Ernakulam,3 Star,,ARYA INTERNATIONAL,"NELLAD, ERNAKULAM Ernakulam",29/06/2020,28/06/2025,15
200,Kerala,Ernakulam,3 Star,,ATSWILLINGDON HOTEL,"ATS WILLINGDON HOTEL , A BRANCH OF P K MOHAMMED PRIVATE LIMITED, WILLINGDON ISLAND, KOCHI 682029 Ernakulam",1/1/2019,31/12/2023,19
201,Kerala,Ernakulam,3 Star,,Cochin Seaport Hotel,"Thekkanmalipuram, Azheekkal P.O..Vypeen,Ernakulam 682510",4/7/2018,3/7/2023,25
202,Kerala,Ernakulam,3 Star,,Diana Tourist Home,"Koothattukulam, Ernakulam Dist,",6/7/2020,5/7/2025,10
203,Kerala,Ernakulam,3 Star,,ELOOR TOURIST HOME,"KUTTIKATTUKARA P.O, UDYOGAMANDAL, ERNAKULAM DISTRICT",15/06/2021,14/06/2026,15
204,Kerala,Ernakulam,3 Star,,Gopika Regency,"NH17, Chirakkakam, Varapuzha, Cochin",16/07/2021,15/07/2026,20
205,Kerala,Ernakulam,3 Star,,HAMILTON RESIDENCY (A UNIT OF HOTEL HAMILTON RESIDENCY PVT LTD),"HAMILTON RESIDENCY (A UNIT OF HOTEL HAMILTON RESIDENCY PVT LTD), KURUPPAMPADY, PERUMBAVUR, ERNAKULAM",28/01/2019,27/01/2024,10
206,Kerala,Ernakulam,3 Star,,Hotel Amruthu,"Thoppumpady, Ernakulam District,",16/03/2021,15/03/2026,10
207,Kerala,Ernakulam,3 Star,,Hotel Chandni Park (Hind Resorts and Services Pvt Ltd.),"South Kalamassery, Ernakulam",16/07/2019,15/07/2024,11
208,Kerala,Ernakulam,3 Star,,HOTEL EDASSERY MANSION,"HOTEL EDASSERY MANSION, KATHRIKADAVU, KALOOR.P.O, ERNAKULAM-682017, KERALA",16/09/2022,15/09/2027,32
209,Kerala,Ernakulam,3 Star,,Hotel Elegance (A unit of Perumbavoor Hotels and Resorts Pvt. Ltd.),"M.C. ROAD, PULLUVAZHI.P.O, PERUMBAVOOR, ERNAKULAM, PIN-683541",24/10/2018,23/10/2023,12
210,Kerala,Ernakulam,3 Star,,Hotel Geo,"Thoppumpady, Kochi",8/4/2021,7/4/2026,10
211,Kerala,Ernakulam,3 Star,,HOTEL GREEN PALACE,"PAMPAKUDA P.O.,MUVATTUPUZHA,ERNAKULAM",1/1/2022,31/12/2026,11
212,Kerala,Ernakulam,3 Star,,Hotel Hill Palace (South Asia Hotels Ltd),"Refinery Road, Irumpanam Junction, Thripunithura",28/02/2022,27/02/2027,32
213,Kerala,Ernakulam,3 Star,,"Hotel Kadambari Regency, A unit of Hotel Kadambari Regency Private Limited","BLDG. NO. XVII (264-275), M C ROAD, MAROTTICHODI, MATTOOR.P.O, KALADY, ERNAKULAM DISTRICT Ernakulam",29/08/2019,28/08/2024,11
214,Kerala,Ernakulam,3 Star,,HOTEL KEERTHY,"HOTEL KEERTHY, M.C. ROAD, KOOTHATTUKULAM.P.O, ERNAKULAM DISTRICT, KERALA",18/02/2020,17/02/2025,10
215,Kerala,Ernakulam,3 Star,,HOTEL KOTTARAM ,"Murikkumpadom, Vypeen , Cochin ",27/05/2019,26/05/2024,11
216,Kerala,Ernakulam,3 Star,,HOTEL NAYANA,"(A UNIT OF HOTEL NAYANA PRIVATE LIMITED), P M ROAD, VAZHAKULAM.P.O, MUVATTUPUZHA, ERNAKULAM DISTRICT",24/08/2018,23/08/2023,10
217,Kerala,Ernakulam,3 Star,,Hotel Olive Eva,Opp Info Park Smart City Kakkanad Ernakulam,22/09/2022,21/09/2027,44
218,Kerala,Ernakulam,3 Star,,HOTEL PALACE INN,"(A UNIT OF PLANET GROUP), BEHIND KSRTC BUS STAND, T B JUNCTION, ANGAMALY, ERNAKULAM DISTRICT",17/07/2018,16/07/2023,12
219,Kerala,Ernakulam,3 Star,,Hotel Panoramic,Parappuram.P.O Kanjoor Ernakulam,21/11/2022,20/11/2027,10
220,Kerala,Ernakulam,3 Star,,Hotel Saj International,Medical College Jn Kolenchery -Post,17/11/2022,16/11/2027,14
221,Kerala,Ernakulam,3 Star,,HOTEL SEA GATE,"SEA GATE,PATHADIPALAM,SOUTH KALAMASSERY,COCHIN ,KERALA.",19/02/2019,18/02/2024,10
222,Kerala,Ernakulam,3 Star,,Hotel Zodiac,"Market Junction, Tripunithura, Ernakulam",13/03/2019,12/3/2024,10
223,Kerala,Ernakulam,3 Star,,Jawahar Tourist Home,"A.M Road, Kothamangalam, Ernakulam",28/01/2019,27/01/2024,11
224,Kerala,Ernakulam,3 Star,,KATHRIKADAVU TOURIST HOME (HOTEL SEA PEARL ),"KUTTAPPAI ROAD, NEAR SARITHA THEATRE, ERNAKULAM DT, ERNAKULAM, KERALA-682031",6/5/2022,5/5/2027,10
225,Kerala,Ernakulam,3 Star,,KIZHAKKAMBALAM TOURIST HOME,"KIZHAKKAMBALAM TOURIST HOME, KIZHAKKAMBALAM, ERNAKULAM DISTRICT, KERALA-683562",15/03/2022,14/03/2027,15
226,Kerala,Ernakulam,3 Star,,LOVEDONS GARDEN,"KOLENCHERY.P.O, ERNAKULAM",15/06/2021,14/06/2026,10
227,Kerala,Ernakulam,3 Star,,MAHARANI HOLIDAY HOME,"( A UNIT OF MAHARANI HOLIDAY HOMES (P) LTD), PIRAVOM.P.O, ERNAKULAM DISTRICT",25/07/2018,24/07/2023,10
228,Kerala,Ernakulam,3 Star,,Maria International,"Kothamangalam.P.O, Ernakulam",12/9/2018,11/9/2023,17
229,Kerala,Ernakulam,3 Star,,Niko Hotels (A Unit of Hikari Hotels Pvt. Ltd.),"K P Vallon Road,Kadavanthra,Cochin,Kerala,682020 Ernakulam",28/02/2022,27/02/2027,27
230,Kerala,Ernakulam,3 Star,,Park Central (A unit of Hotel Siena Central Private Limited),"36 - 1856 - A, Kaloor - Kadavanthra Road, Kaloor - 682017, Kerala",25/03/2022,24/03/2027,17
231,Kerala,Ernakulam,3 Star,,Park Residency,"Girinagar Link Road, Kadavanthra,Cochin, Kerala ",5/2/2019,4/2/2024,15
232,Kerala,Ernakulam,3 Star,,Polakulath Regency ,"Jewel Junction, M G Road, Ernakulam ,Cochin ",4/7/2019,3/7/2024,10
233,Kerala,Ernakulam,3 Star,,POLAKULATH TOURIST HOME,POLAKULATH TOURIST HOME MULANTHURUTHY ERNAKULAM 682314 Ernakulam,11/9/2018,10/9/2023,12
234,Kerala,Ernakulam,3 Star,,Polakulath Tourist Home ,"Polakulath Tourist Home, S N Jn , Palarivattom,Cochin ",11/10/2018,10/10/2023,14
235,Kerala,Ernakulam,3 Star,,Prayana Hotels,"Near E.S.I.Hospital.Opposite North Railway Station,Ernakulam",20/01/2021,19/01/2026,24
236,Kerala,Ernakulam,3 Star,,Rock Rose Tourist Home (A unit of Rock Rose Tourist Home (P) Ltd),"NH Byepass, Palarivattom, Puthiya Road, Kochi, Kerala Ernakulam",16/07/2021,15/07/2026,11
237,Kerala,Ernakulam,3 Star,,Rose Residency,"NH 49, Cochin Madura Road, Near Block Jn, Kolenchery",10/8/2020,9/8/2025,36
238,Kerala,Ernakulam,3 Star,,SONIA TOURIST HOME,"M C ROAD, KOOTHATTUKULAM Ernakulam",18/11/2019,17/11/2024,14
239,Kerala,Ernakulam,3 Star,,Sreevalsam Residency,"Mattoor, M C Road, Kalady, Ernakulam Ernakulam Ernakulam",26/06/2020,25/06/2025,10
240,Kerala,Ernakulam,3 Star,,XL HOTEL,"A K SAnthosh, Propriter, XL hotel, Rose street, Fort kochi -682001",15/06/2021,14/06/2026,10
241,Kerala,Ettumanoor,3 Star,,Hotel Sreelakshmi Park,"Pala Road,Ayarkunnam,Kottayam.",20/02/2022,19/02/2027,11
242,Kerala,Guruvayoor,3 Star,,Hotel Amaravathi ,"Near Bus Stand, Chavakkad, Thrissur Guruvayoor",18/02/2020,17/02/2025,10
243,Kerala,Idukki,3 Star,,AMBADY TOURIST HOME,"AMBADY TOURIST HOME, MUVATTUPUZHA ROAD, THODUPUZHA",10/8/2018,9/8/2023,10
244,Kerala,Idukki,3 Star,,CHANDANA TOURIST HOME,"UDUMALPET ROAD, MARAYUR P O , IDUKKI DIST.",28/06/2019,27/06/2024,25
245,Kerala,Idukki,3 Star,,DHANYA TOURIST HOME ,"Kallarkutty Road, Adimaly, Idukki District, Kerala State â€“ 685561 Idukki ",6/1/2020,5/1/2025,16
246,Kerala,Idukki,3 Star,,HOTEL GREEN OASIS,"(A UNIT OF GREEN OASIS REGENCY HOTEL PRIVATE LIMITED), NEAR TELEPHONE EXCHANGE, MUTTOM, THODUPUZHA, IDUKKI DISTRICT",10/8/2018,9/8/2023,18
247,Kerala,Idukki,3 Star,,Hotel Victoria International,"Orappankal Building, Central Junction, Kattappana.",19/04/2022,18/04/2027,10
248,Kerala,IRITTY,3 Star,,HOTEL SURYA,"Near Iritty Bridge, Iritty- Post, Kannur -Dist,Kerala",7/8/2020,6/8/2025,11
249,Kerala,IRITTY,3 Star,,K.K TOURIST HOME,"IRITTY, KANNUR DIST",11/3/2020,10/3/2025,20
250,Kerala,IRITTY,3 Star,,Sky Paradise,"Vallithode, Kiliyanthara (P.O), Iritty ",16/09/2022,15/09/2027,16
251,Kerala,KALADY,3 Star,,EDASSERY VILLAGE RESORT,"EDASSERY VILLAGE RESORT, CHENGAL, KALADY, ERNAKULAM DISTRICT-683574, KERALA",29/11/2018,28/11/2023,10
252,Kerala,Kalpetta,3 Star,,Chembra Residency (A unit of jilsu associates LLP),Vellaramkunnu Kalpetta .P.O ,21/11/2022,20/11/2027,10
253,Kerala,Kanhangad,3 Star,,MALANADU TOURIST HOME ,"North Kottacherry, Kanhangad, Kasaragod. ",5/10/2018,4/10/2023,14
254,Kerala,Kanhangad,3 Star,,NEELESHWAR HERMITAGE,"OZHINHAVALAPPU-P.O., NILESHWAR-VIA, KASARAGOD-DIST.",28/01/2020,27/01/2025,18
255,Kerala,Kannur,3 Star,,Geetha Residency,"post chirakkal, puthiyatheru, Kannur(Dist)",17/05/2019,16/05/2024,10
256,Kerala,Kannur,3 Star,,Broad Bean ( A Unit Of KK Leisures and Tourism International Pvt. Ltd.),"Chakkarakkal. Mowenchery P O, Kannur Taluk, Kannur Dist.",22/07/2020,21/07/2025,15
257,Kerala,Kannur,3 Star,,Hotel Parassini Polariz,"Near Snake Park, Kolmotta (p.o), Parassinikkadavu , Kannur",11/3/2019,10/3/2024,36
258,Kerala,Kannur,3 Star,,Hotel Samudra,"Post Sreekandapuram, Kannur Dist., Kerala",26/09/2018,25/09/2023,11
259,Kerala,Kannur,3 Star,,HOTEL SKY PARK,"IRITTY ROAD, MATTANUR, KANNUR",22/09/2020,21/09/2025,19
260,Kerala,Kannur,3 Star,,LA SERENE HOTEL,"A UNIT OF INFINITY BUSINESS GROUP, NEAR VETERINARY HOSPITAL, MATTANUR.P.O, KANNUR-670702",26/05/2022,25/05/2027,14
261,Kerala,Kannur,3 Star,,Lyndas Residency,"Alakkandy Arcade, T C Road, Kuthuparamba, Kannur Kannur",5/11/2019,4/11/2024,12
262,Kerala,Kannur,3 Star,,Rajadhani,"Peravoor , Kannur Kannur",20/06/2021,19/06/2026,10
263,Kerala,Kannur,3 Star,,SNEHA INN,"BAKKALAM, KANOOL.P.O, KANNUR",13/10/2019,12/10/2024,14
264,Kerala,Karunagapally,3 Star,,Hotel Comfort Regency,"Hotel Comfort Regency,NH-66(47),Karunagapally,Kollam Dist,Kerala",8/8/2022,7/8/2027,11
265,Kerala,Karunagapally,3 Star,,HOTEL INDRAPRASTHA,"NH 66,KARUNAGAPPALLY P.O.,KARUNAGAPPALLY,KOLLAM",16/03/2022,15/03/2027,21
266,Kerala,Kasaragod,3 Star,,J.K. Residency Kasaragod,"Beach Road,Kasaragod Kasaragod",30/03/2022,29/03/2027,10
267,Kerala,KASARGOD,3 Star,,HOTEL BEKAL PALACE,"PALAKUNNU,BEKAL P.O",4/4/2019,3/4/2024,20
268,Kerala,KASARGOD,3 Star,,HOTEL LANDMARK,"HOTEL LANDMARK, ALAMIPPALLY P.O., KANHANGAD, KASARGOD DIST KASARGOD",15/02/2019,14/02/2024,12
269,Kerala,Kayamkulam,3 Star,,HIGHWAY PALACE (A LEASED PROPERTY FROM HOTEL HIGHWAY PARK),"HIGHWAY PALACE (A LEASED PROPERTY FROM HOTEL HIGHWAY PARK), KAYAMKULAM",20/11/2018,19/11/2023,11
270,Kerala,Kayamkulam,3 Star,,HOTEL ROMA CENTRAL ,"HOTEL ROMA CENTRAL, A UNIT OF HOTEL JN PRIVATE LIMITED, 2ND MILE, KOPRAPURA, PULLIKKANAKKU.P.O, KAYAMKULAM Kayamkulam ",19/12/2019,18/12/2024,10
271,Kerala,Kochi,3 Star,,Arakkathara tourist home,"Arakkathara tourist home, Nambiyapuram Road, Palluruthy, Kochi 682006",9/5/2019,8/5/2024,10
272,Kerala,Kochi,3 Star,,GINO TOURIST HOME,"KAKKANAD, KOCHI",25/03/2022,24/03/2027,10
273,Kerala,Kochi,3 Star,,KALAMASSERY TOURIST HOME,"KALAMASSERY TOURIST HOME, OPP.APPOLO TYRES, KALAMASSERY NORTH.P.O, KALAMASSERY, ERNAKULAM DISTRICT, KERALA-683104",28/12/2018,27/12/2023,19
274,Kerala,Kochi,3 Star,,The Cochin Legacy (Labella Hospitality Pvt. Ltd.),"Near Nairs Hospital, NH-47 Bye Pass, Maradu P.O,Ernakulam Dt. Kerala ",22/04/2019,21/04/2024,25
275,Kerala,Kochi,3 Star,,THE INTERNATIONAL HOTEL,"PB NO 3563, VEEKSHANAM ROAD, M.G.ROAD, ERNAKULAM",21/11/2022,20/11/2027,35
276,Kerala,Kodungallur,3 Star,,Aswathy Bar and Hotel,"South Nada, Kodungallur, Thrissur Kodungallur",11/1/2023,10/1/2028,10
277,Kerala,Kodungallur,3 Star,,Hotel Palace EN Paradise,"Opposite KSRTC Bus Stand Sringapuram, Methala - Post Kodungallur ,Thrissur- District, Kerala",25/03/2022,24/03/2027,10
278,Kerala,Kodungallur,3 Star,,KALLADA RESIDENCY,"SANTHIPURAM,KODUNGALLUR,THRISSUR DIST,KERALA STATE",21/08/2018,20/08/2023,10
279,Kerala,Kodungallur,3 Star,,"Polakulath Tourist Home, Pullut ","Polakulath Tourist Home,Pullut - Narayanamangalam ,THRISSUR (Dis) - PIN :- 680663",28/01/2019,27/01/2024,10
280,Kerala,Kollam,3 Star,,HIGHLAND HOTEL AND RESORTS,"HIGHLAND HOTEL AND RESORTS, OPP VAIDHYUTHI BHAVAN, NH-744, KOTTARAKARA PO, KOLLAM KERALALA, PIN-691506",9/7/2018,8/7/2023,22
281,Kerala,Kollam,3 Star,,HOTEL ANTONY'S TOWER,"PATHANAPURAM, KOLLAM DIST",6/7/2020,5/7/2025,11
282,Kerala,Kollam,3 Star,,HOTEL DE ORIENT,"Vadayattukotta Road, Near Head Post Office, Chinnakkada, Kollam ",3/1/2019,2/1/2024,10
283,Kerala,Kollam,3 Star,,HOTEL DONA CASTLE ( a unit of Edassery Group of Hotels Pvt Ltd ),"HOTEL DONA CASTLE ( a unit of Edassery Group of Hotels Pvt Ltd ), LAKSHMINADA, KOTTAMUKKU, KOLLAM",17/11/2022,16/11/2027,17
284,Kerala,Kollam,3 Star,,Hotel Emerald Palace,"Kannanalloor, Kollam",17/11/2022,16/11/2027,10
285,Kerala,Kollam,3 Star,,HOTEL HARISREE,"MOONAMKUTTY,KILIKOLLOOR P.O.,KOLLAM",21/11/2022,20/11/2027,12
286,Kerala,Kollam,3 Star,,Hotel Lake View ,"Thoppilkadavu, Thirumullavaram P.O, Kollam Kollam Kollam",27/05/2019,26/05/2024,10
287,Kerala,Kollam,3 Star,,HOTEL PALAZHI,"KALLUMKADAVU, PATHANAPURAM, KOLLAM DISTRICT",8/4/2021,7/4/2026,11
288,Kerala,Kollam,3 Star,,Hotel Railview,"Hotel Railview Opp. Kollam Junction Railway Station Chinnakkada, Kollam- 691001, Kerala ",9/9/2022,8/9/2027,18
289,Kerala,Kollam,3 Star,,Hotel Sea Palace,Kochupilamood Kollam ,4/1/2023,3/1/2028,20
290,Kerala,Kollam,3 Star,,Hotel Shilpa Retreat,Ayur Kollam,1/1/2022,31/12/2026,10
291,Kerala,Kollam,3 Star,,HOTEL SOORYA,"KANNANALLOOR ROAD, KOTTIYAM P O, ",21/01/2020,20/01/2025,10
292,Kerala,Kollam,3 Star,,HOTEL VIJAYA CASTLE,"A unit of V. Narayana Pillai and Company, Mannannamukku, Manakara, Sasthamkotta.P.O, Kollam District, Kerala State, Pin â€“ 690 521 ",1/8/2022,31/07/2027,21
293,Kerala,Kollam,3 Star,,Hotel Vijaya Palace,"THATTASSERY, CHAVARA, KOLLAM",15/06/2021,14/06/2026,14
294,Kerala,Kollam,3 Star,,Mangalath Hotel and Resorts,"Chadayamangalam, Kollam",8/10/2018,7/10/2023,15
295,Kerala,Kollam,3 Star,,MARIYALAYAM MUNROE ISLAND RESIDENCY,"PATTAMTHURUTHU P O, MUNROETHURUTHU, KOLLAM",17/11/2022,16/11/2027,12
296,Kerala,Kollam,3 Star,,ROYALE REGENCY HOTEL AND CONVENTION CENTER,"NH-66(47),OACHIRA,KOLLAM DISTRICT",8/10/2018,7/10/2023,29
297,Kerala,Kollam,3 Star,,San Tourist Home ,"Kavanadu P.O., Kollam ",25/07/2022,24/07/2027,11
